"Samuels-MacBook-Pro.local","Joey and Sams Test"
"osj-isg-02-prd","ISG-EDGE"
"osj-isg-02-tst","ISG-EDGE"
"osj-isg-03-prd","ISG-EDGE"
"osj-isg-03-tst","ISG-EDGE"
"osj-isi-01-prd","Isilon"
"osj-isi-01-tst","Isilon"
"osj-isi-02-prd","Isilon - PowerScale"
"osj-isi-02-tst","Isilon - PowerScale"
"osj-jvn-01-prd","Dell Networking (osj-dng-03 Chennai team)"
"osj-jvn-01-tst","Dell Networking (osj-dng-03 Chennai team)"
"osj-kdm-01-prd","Karman Data Management"
"osj-kdm-01-tst","Karman Data Management"
"osj-lgq-01-prd","netops team (LGTM)"
"osj-lgq-01-tst","netops team (LGTM)"
"osj-ltg-01-prd","Lightening"
"osj-ltg-01-tst","Lightening"
"osj-ltg-02-prd","Lightening-QE"
"osj-ltg-02-tst","Lightening-QE"
"osj-mas-01-prd","APEX Ecosystem"
"osj-mas-01-tst","APEX Ecosystem"
"osj-mrp-01-prd","Midrange Performance"
"osj-mrp-01-tst","Midrange Performance"
"osj-mrq-01-prd","MidRange QE"
"osj-mrq-01-tst","MidRange QE"
"osj-msm-01-prd","MSM"
"osj-msm-01-tst","MSM"
"osj-nat-01-prd","Networker"
"osj-nat-01-tst","Networker"
"osj-ngm-01-prd","PowerStore (Trident, Next Gen Midrange)"
"osj-ngm-01-tst","PowerStore (Trident, Next Gen Midrange)"
"osj-ngm-02-prd","PowerStore (Trident, Next Gen Midrange)"
"osj-ngm-02-tst","PowerStore (Trident, Next Gen Midrange)"
"osj-ngm-03-prd","PowerStore QA (Trident, Next Gen Midrange)"
"osj-ngm-03-tst","PowerStore QA (Trident, Next Gen Midrange)"
"osj-ngm-04-prd","PowerStore QA (Trident, Next Gen Midrange)"
"osj-ngm-04-tst","PowerStore QA (Trident, Next Gen Midrange)"
"osj-ngm-05-prd","PowerStore LabIT"
"osj-ngm-05-tst","PowerStore LabIT"
"osj-ngm-06-prd","PowerStore (Trident, Next Gen Midrange)"
"osj-ngm-06-tst","PowerStore (Trident, Next Gen Midrange)"
"osj-ngm-07-prd","PowerStore (Trident, Next Gen Midrange)"
"osj-ngm-07-tst","PowerStore (Trident, Next Gen Midrange)"
"osj-ngm-08-prd","PowerStore (Trident, Next Gen Midrange)"
"osj-ngm-08-tst","PowerStore (Trident, Next Gen Midrange)"
